"Name","Team","Position","Age","Height","Weight","College","Salary"
"Juhann Begarin","Boston Celtics","SG","19","6' 5""","185 lbs","",""
"Jaylen Brown","Boston Celtics","SG","24","6' 6""","223 lbs","California","$26,758,928"
"Kris Dunn","Boston Celtics","PG","27","6' 3""","205 lbs","Providence","$5,005,350"
"Carsen Edwards","Boston Celtics","PG","23","5' 11""","200 lbs","Purdue","$1,782,621"
"Tacko Fall","Boston Celtics","C","25","7' 5""","311 lbs","UCF",""
"Bruno Fernando","Boston Celtics","F","23","6' 9""","240 lbs","Maryland","$1,782,621"
"Al Horford","Boston Celtics","C","35","6' 9""","240 lbs","Florida","$27,000,000"
"Enes Kanter","Boston Celtics","C","29","6' 10""","250 lbs","Kentucky","$1,669,178"
"Luke Kornet","Boston Celtics","C","26","7' 2""","250 lbs","Vanderbilt",""
"Romeo Langford","Boston Celtics","SG","21","6' 4""","216 lbs","Indiana","$3,804,360"
"Aaron Nesmith","Boston Celtics","SF","21","6' 5""","215 lbs","Vanderbilt","$3,631,200"
"Jabari Parker","Boston Celtics","PF","26","6' 8""","245 lbs","Duke","$2,283,034"
"Payton Pritchard","Boston Celtics","PG","23","6' 1""","195 lbs","Oregon","$2,137,440"
"Josh Richardson","Boston Celtics","SG","27","6' 5""","200 lbs","Tennessee","$11,615,328"
"Dennis Schroder","Boston Celtics","PG","27","6' 3""","172 lbs","","$5,890,000"
"Marcus Smart","Boston Celtics","PG","27","6' 3""","220 lbs","Oklahoma State","$14,339,285"
"Jayson Tatum","Boston Celtics","SF","23","6' 8""","210 lbs","Duke","$28,103,500"
"Grant Williams","Boston Celtics","PF","22","6' 6""","236 lbs","Tennessee","$2,617,800"
"Robert Williams III","Boston Celtics","C","23","6' 8""","237 lbs","Texas A&M","$3,661,976"
"LaMarcus Aldridge","Brooklyn Nets","F","36","6' 11""","250 lbs","Texas",""
"DeAndre' Bembry","Brooklyn Nets","SG","27","6' 5""","210 lbs","Saint Joseph's","$1,669,178"
"Bruce Brown","Brooklyn Nets","SF","25","6' 4""","202 lbs","Miami (FL)","$4,736,102"
"Jevon Carter","Brooklyn Nets","PG","25","6' 1""","200 lbs","West Virginia","$3,650,000"
"Nicolas Claxton","Brooklyn Nets","PF","22","6' 11""","215 lbs","Georgia","$1,782,621"
"Sekou Doumbouya","Brooklyn Nets","SF","20","6' 8""","230 lbs","","$3,613,680"
"Kevin Durant","Brooklyn Nets","PF","32","6' 10""","240 lbs","Texas","$42,018,900"
"Kessler Edwards","Brooklyn Nets","SF","21","6' 8""","215 lbs","Pepperdine",""
"RaiQuan Gray","Brooklyn Nets","PF","22","6' 8""","260 lbs","Florida State",""
"Blake Griffin","Brooklyn Nets","PF","32","6' 9""","250 lbs","Oklahoma","$1,669,178"
"James Harden","Brooklyn Nets","SG","32","6' 5""","220 lbs","Arizona State","$44,310,840"
"Joe Harris","Brooklyn Nets","SF","30","6' 6""","220 lbs","Virginia","$17,357,143"
"Kyrie Irving","Brooklyn Nets","PG","29","6' 2""","195 lbs","Duke","$35,328,700"
"Mike James","Brooklyn Nets","PG","31","6' 1""","175 lbs","Eastern Arizona Coll. (J.C.)",""
"Alize Johnson","Brooklyn Nets","PF","25","6' 7""","212 lbs","Missouri State","$1,762,796"
"James Johnson","Brooklyn Nets","PF","34","6' 7""","240 lbs","Wake Forest","$1,669,178"
"Tyler Johnson","Brooklyn Nets","SG","29","6' 3""","186 lbs","Fresno State",""
"Timothe Luwawu-Cabarrot","Brooklyn Nets","SG","26","6' 7""","220 lbs","",""
"Patty Mills","Brooklyn Nets","PG","33","6' 1""","180 lbs","Saint Mary's","$5,890,000"
"Paul Millsap","Brooklyn Nets","PF","36","6' 7""","257 lbs","Louisiana Tech",""
"Jahlil Okafor","Brooklyn Nets","C","25","6' 10""","270 lbs","Duke","$2,130,023"
"Reggie Perry","Brooklyn Nets","PF","21","6' 8""","250 lbs","Mississippi State",""
"Day'Ron Sharpe","Brooklyn Nets","C","19","6' 11""","265 lbs","North Carolina","$2,009,040"
"Cameron Thomas","Brooklyn Nets","SG","19","6' 4""","210 lbs","LSU","$2,036,280"
"Marcus Zegarowski","Brooklyn Nets","PG","23","6' 2""","181 lbs","Creighton",""
"Dwayne Bacon","New York Knicks","SG","26","6' 6""","221 lbs","Florida State","$1,824,003"
"RJ Barrett","New York Knicks","SG","21","6' 6""","214 lbs","Duke","$8,623,920"
"Alec Burks","New York Knicks","SG","30","6' 6""","214 lbs","Colorado","$9,536,000"
"Evan Fournier","New York Knicks","G","28","6' 7""","205 lbs","","$17,000,000"
"Taj Gibson","New York Knicks","C","36","6' 9""","232 lbs","USC","$4,910,000"
"Quentin Grimes","New York Knicks","SG","21","6' 5""","205 lbs","Houston","$2,168,760"
"Jared Harper","New York Knicks","PG","23","5' 10""","175 lbs","Auburn",""
"Kevin Knox II","New York Knicks","SF","22","6' 7""","215 lbs","Kentucky","$5,845,979"
"Miles McBride","New York Knicks","PG","20","6' 2""","200 lbs","West Virginia","$925,258"
"Nerlens Noel","New York Knicks","C","27","6' 11""","220 lbs","Kentucky","$8,000,000"
"Frank Ntilikina","New York Knicks","PG","23","6' 4""","200 lbs","",""
"Norvel Pelle","New York Knicks","PF","28","6' 10""","231 lbs","St. John's",""
"Theo Pinson","New York Knicks","SG","25","6' 5""","212 lbs","North Carolina",""
"Immanuel Quickley","New York Knicks","SG","22","6' 3""","190 lbs","Kentucky","$2,210,640"
"Julius Randle","New York Knicks","PF","26","6' 8""","250 lbs","Kentucky","$21,780,000"
"Mitchell Robinson","New York Knicks","C","23","7' 0""","240 lbs","","$1,802,057"
"Derrick Rose","New York Knicks","PG","32","6' 2""","200 lbs","Memphis","$13,445,120"
"Jericho Sims","New York Knicks","PF","22","6' 10""","245 lbs","Texas",""
"Obi Toppin","New York Knicks","PF","23","6' 9""","220 lbs","Dayton","$5,105,160"
"Luca Vildoza","New York Knicks","PG","26","6' 3""","190 lbs","","$3,325,000"
"Kemba Walker","New York Knicks","PG","31","6' 0""","184 lbs","Connecticut","$36,016,200"
"Charles Bassey","Philadelphia Sixers","C","20","6' 11""","235 lbs","Western Kentucky",""
"Gary Clark","Philadelphia Sixers","SF","26","6' 6""","225 lbs","Cincinnati",""
"Seth Curry","Philadelphia Sixers","SG","31","6' 2""","185 lbs","Duke","$8,207,518"
"Andre Drummond","Philadelphia Sixers","C","28","6' 10""","279 lbs","Connecticut","$1,669,178"
"Joel Embiid","Philadelphia Sixers","C","27","7' 0""","280 lbs","Kansas","$31,579,390"
"Danny Green","Philadelphia Sixers","SF","34","6' 6""","215 lbs","North Carolina","$10,000,000"
"Tobias Harris","Philadelphia Sixers","PF","29","6' 8""","226 lbs","Tennessee","$35,995,950"
"Aaron Henry","Philadelphia Sixers","F","22","6' 6""","210 lbs","Michigan State",""
"Isaiah Joe","Philadelphia Sixers","SG","22","6' 4""","165 lbs","Arkansas","$1,517,981"
"Furkan Korkmaz","Philadelphia Sixers","SG","24","6' 7""","202 lbs","","$4,629,630"
"Tyrese Maxey","Philadelphia Sixers","PG","20","6' 2""","200 lbs","Kentucky","$2,602,920"
"Shake Milton","Philadelphia Sixers","SG","24","6' 5""","205 lbs","SMU","$1,846,738"
"Georges Niang","Philadelphia Sixers","F","28","6' 7""","230 lbs","Iowa State","$3,300,000"
"Filip Petrusev","Philadelphia Sixers","PF","21","6' 11""","235 lbs","Gonzaga",""
"Paul Reed","Philadelphia Sixers","SF","22","6' 9""","210 lbs","DePaul","$1,517,981"
"Grant Riller","Philadelphia Sixers","G","24","6' 2""","190 lbs","Charleston",""
"Mike Scott","Philadelphia Sixers","PF","33","6' 7""","237 lbs","Virginia",""
"Ben Simmons","Philadelphia Sixers","PG","25","6' 11""","240 lbs","LSU","$33,003,936"
"Jaden Springer","Philadelphia Sixers","PG","18","6' 4""","204 lbs","Tennessee","$2,023,800"
"Matisse Thybulle","Philadelphia Sixers","SG","24","6' 5""","201 lbs","Washington","$2,840,160"
"Precious Achiuwa","Toronto Raptors","F","21","6' 8""","225 lbs","Memphis","$2,711,280"
"OG Anunoby","Toronto Raptors","SF","24","6' 7""","232 lbs","Indiana","$16,071,429"
"Dalano Banton","Toronto Raptors","PG","21","6' 9""","204 lbs","Nebraska","$925,258"
"Scottie Barnes","Toronto Raptors","SF","20","6' 9""","227 lbs","Florida State","$7,280,520"
"Khem Birch","Toronto Raptors","C","28","6' 9""","233 lbs","UNLV","$6,350,000"
"Isaac Bonga","Toronto Raptors","G","21","6' 8""","180 lbs","","$1,669,178"
"Chris Boucher","Toronto Raptors","PF","28","6' 9""","200 lbs","New Mexico JC","$7,020,000"
"Sam Dekker","Toronto Raptors","F","27","6' 9""","219 lbs","Wisconsin","$1,669,178"
"Goran Dragic","Toronto Raptors","PG","35","6' 3""","190 lbs","","$19,440,000"
"Malachi Flynn","Toronto Raptors","PG","23","6' 1""","175 lbs","San Diego State","$2,048,040"
"Freddie Gillespie","Toronto Raptors","SF","24","6' 9""","245 lbs","Baylor","$1,517,981"
"David Johnson","Toronto Raptors","PG","20","6' 5""","210 lbs","Louisville",""
"Stanley Johnson","Toronto Raptors","SF","25","6' 6""","242 lbs","Arizona",""
"Pascal Siakam","Toronto Raptors","PG","27","6' 9""","230 lbs","New Mexico State","$33,003,936"
"Gary Trent Jr.","Toronto Raptors","SG","22","6' 5""","209 lbs","Duke","$16,000,000"
"Fred VanVleet","Toronto Raptors","SG","27","6' 1""","197 lbs","Wichita State","$19,675,926"
"Yuta Watanabe","Toronto Raptors","SF","26","6' 9""","215 lbs","George Washington","$1,762,796"
"Ryan Arcidiacono","Chicago Bulls","PG","27","6' 3""","195 lbs","Villanova","$3,000,000"
"Lonzo Ball","Chicago Bulls","PG","23","6' 6""","190 lbs","UCLA","$18,604,651"
"Tony Bradley","Chicago Bulls","C","23","6' 10""","248 lbs","North Carolina","$1,669,178"
"Troy Brown Jr.","Chicago Bulls","SF","22","6' 6""","215 lbs","Oregon","$5,170,564"
"Alex Caruso","Chicago Bulls","SG","27","6' 4""","186 lbs","Texas A&M","$8,650,651"
"DeMar DeRozan","Chicago Bulls","SF","32","6' 6""","220 lbs","USC","$26,000,000"
"Ayo Dosunmu","Chicago Bulls","SG","21","6' 5""","200 lbs","Illinois","$925,258"
"Devon Dotson","Chicago Bulls","PG","22","6' 2""","185 lbs","Kansas",""
"Cristiano Felicio","Chicago Bulls","PF","29","6' 11""","270 lbs","",""
"Javonte Green","Chicago Bulls","PG","28","6' 4""","205 lbs","Radford","$1,669,178"
"Derrick Jones Jr.","Chicago Bulls","SF","24","6' 5""","210 lbs","UNLV","$9,720,900"
"Zach LaVine","Chicago Bulls","SG","26","6' 5""","200 lbs","UCLA","$19,500,000"
"Adam Mokoka","Chicago Bulls","SG","23","6' 4""","190 lbs","",""
"Denzel Valentine","Chicago Bulls","SG","27","6' 4""","220 lbs","Michigan State",""
"Nikola Vucevic","Chicago Bulls","C","30","6' 11""","260 lbs","USC","$24,000,000"
"Coby White","Chicago Bulls","PG","21","6' 5""","195 lbs","North Carolina","$5,837,760"
"Patrick Williams","Chicago Bulls","PF","20","6' 7""","215 lbs","Florida State","$7,422,000"
"Jarrett Allen","Cleveland Cavaliers","C","23","6' 11""","243 lbs","Texas","$20,000,000"
"Damyean Dotson","Cleveland Cavaliers","SG","27","6' 5""","210 lbs","Houston","$2,000,000"
"Darius Garland","Cleveland Cavaliers","PG","21","6' 1""","192 lbs","Vanderbilt","$7,040,880"
"Mfiondu Kabengele","Cleveland Cavaliers","C","24","6' 9""","250 lbs","Florida State","$1,701,593"
"Kevin Love","Cleveland Cavaliers","PF","33","6' 8""","251 lbs","UCLA","$31,258,256"
"Lauri Markkanen","Cleveland Cavaliers","PF","24","7' 0""","240 lbs","Arizona","$15,690,909"
"Evan Mobley","Cleveland Cavaliers","C","20","7' 0""","215 lbs","USC","$8,075,160"
"Isaac Okoro","Cleveland Cavaliers","SF","20","6' 5""","225 lbs","Auburn","$6,720,720"
"Cedi Osman","Cleveland Cavaliers","SF","26","6' 7""","230 lbs","","$8,133,334"
"Ricky Rubio","Cleveland Cavaliers","G","30","6' 3""","190 lbs","","$17,800,000"
"Collin Sexton","Cleveland Cavaliers","PG","22","6' 1""","190 lbs","Alabama","$6,439,671"
"Lamar Stevens","Cleveland Cavaliers","F","24","6' 6""","230 lbs","Penn State","$1,517,981"
"Brodric Thomas","Cleveland Cavaliers","G","24","6' 5""","185 lbs","Truman State",""
"Dean Wade","Cleveland Cavaliers","PF","24","6' 9""","228 lbs","Kansas State","$1,782,621"
"Dylan Windler","Cleveland Cavaliers","SG","24","6' 6""","196 lbs","Belmont","$2,239,200"
"Saddiq Bey","Detroit Pistons","SF","22","6' 7""","215 lbs","Villanova","$2,824,320"
"Cade Cunningham","Detroit Pistons","PG","19","6' 7""","220 lbs","Oklahoma State","$10,050,120"
"Hamidou Diallo","Detroit Pistons","SG","23","6' 5""","202 lbs","Kentucky","$5,200,000"
"Luka Garza","Detroit Pistons","C","22","6' 10""","243 lbs","Iowa",""
"Jerami Grant","Detroit Pistons","SF","27","6' 8""","210 lbs","Syracuse","$20,002,500"
"Killian Hayes","Detroit Pistons","PG","20","6' 5""","195 lbs","","$5,572,680"
"Frank Jackson","Detroit Pistons","PG","23","6' 3""","205 lbs","Duke","$3,000,000"
"Josh Jackson","Detroit Pistons","SG","24","6' 8""","207 lbs","Kansas","$5,005,350"
"Cory Joseph","Detroit Pistons","PG","30","6' 3""","200 lbs","Texas","$12,600,000"
"Balsa Koprivica","Detroit Pistons","C","21","7' 1""","240 lbs","Florida State",""
"Saben Lee","Detroit Pistons","PG","22","6' 2""","183 lbs","Vanderbilt","$1,489,065"
"Isaiah Livers","Detroit Pistons","PF","23","6' 6""","232 lbs","Michigan","$1,057,260"
"Trey Lyles","Detroit Pistons","PF","25","6' 9""","234 lbs","Kentucky","$2,500,000"
"Rodney McGruder","Detroit Pistons","SG","30","6' 4""","205 lbs","Kansas State","$1,669,178"
"Kelly Olynyk","Detroit Pistons","PF","30","6' 11""","240 lbs","Gonzaga","$12,195,122"
"Chris Smith","Detroit Pistons","F","21","6' 8""","215 lbs","UCLA",""
"Dennis Smith Jr.","Detroit Pistons","PG","23","6' 2""","205 lbs","North Carolina State",""
"Isaiah Stewart","Detroit Pistons","C","20","6' 8""","250 lbs","Washington","$3,277,080"
"Goga Bitadze","Indiana Pacers","C","22","6' 11""","250 lbs","","$3,098,400"
"Oshae Brissett","Indiana Pacers","SF","23","6' 7""","210 lbs","Syracuse","$1,701,593"
"Malcolm Brogdon","Indiana Pacers","PG","28","6' 5""","229 lbs","Virginia","$21,700,000"
"Torrey Craig","Indiana Pacers","SF","30","6' 7""","221 lbs","USC Upstate","$4,878,049"
"Chris Duarte","Indiana Pacers","SG","24","6' 6""","190 lbs","Oregon","$3,749,400"
"Justin Holiday","Indiana Pacers","SF","32","6' 6""","180 lbs","Washington","$6,006,420"
"Isaiah Jackson","Indiana Pacers","PF","19","6' 10""","205 lbs","Kentucky","$2,451,240"
"DeJon Jarreau","Indiana Pacers","F","23","6' 5""","185 lbs","Houston",""
"Jeremy Lamb","Indiana Pacers","SG","29","6' 5""","180 lbs","Connecticut","$10,500,000"
"Caris LeVert","Indiana Pacers","SG","27","6' 6""","205 lbs","Michigan","$17,500,000"
"Kelan Martin","Indiana Pacers","SG","26","6' 5""","230 lbs","Butler","$1,701,593"
"T.J. McConnell","Indiana Pacers","PG","29","6' 1""","190 lbs","Arizona","$7,500,000"
"Domantas Saboni","Indiana Pacers","PF","25","6' 11""","240 lbs","Gonzaga","$19,800,000"
"JaKarr Sampson","Indiana Pacers","SF","28","6' 7""","214 lbs","St. John's",""
"Cassius Stanley","Indiana Pacers","SG","22","6' 5""","190 lbs","Duke",""
"Edmond Sumner","Indiana Pacers","PG","25","6' 4""","196 lbs","Xavier","$2,320,000"
"Myles Turner","Indiana Pacers","C","25","6' 11""","250 lbs","Texas","$18,000,000"
"T.J. Warren","Indiana Pacers","SF","28","6' 8""","220 lbs","North Carolina State","$12,940,000"
"Grayson Allen","Milwaukee Bucks","SG","25","6' 4""","198 lbs","Duke","$4,054,695"
"Giannis Antetokounmpo","Milwaukee Bucks","PF","26","6' 11""","242 lbs","","$39,344,970"
"Thanasis Antetokounmpo","Milwaukee Bucks","SF","29","6' 6""","219 lbs","","$1,669,178"
"Elijah Bryant","Milwaukee Bucks","SG","26","6' 5""","210 lbs","BYU","$1,517,981"
"Pat Connaughton","Milwaukee Bucks","SG","28","6' 5""","209 lbs","Notre Dame","$5,333,334"
"Donte DiVincenzo","Milwaukee Bucks","SG","24","6' 4""","203 lbs","Villanova","$4,675,830"
"Mamadi Diakite","Milwaukee Bucks","PF","24","6' 9""","228 lbs","Virginia","$1,517,981"
"George Hill","Milwaukee Bucks","G","35","6' 4""","188 lbs","IUPUI","$4,000,000"
"Jrue Holiday","Milwaukee Bucks","PG","31","6' 3""","205 lbs","UCLA","$32,413,333"
"Rodney Hood","Milwaukee Bucks","SG","28","6' 8""","208 lbs","Duke","$1,669,178"
"Justin Jackson","Milwaukee Bucks","SF","26","6' 8""","220 lbs","North Carolina",""
"Rodions Kurucs","Milwaukee Bucks","SF","23","6' 9""","228 lbs","",""
"Brook Lopez","Milwaukee Bucks","C","33","7' 0""","282 lbs","Stanford","$13,302,325"
"Sandro Mamukelashvili","Milwaukee Bucks","C","22","6' 11""","240 lbs","Seton Hall",""
"Khris Middleton","Milwaukee Bucks","SF","30","6' 7""","222 lbs","Texas A&M","$35,500,000"
"Jordan Nwora","Milwaukee Bucks","SF","22","6' 8""","225 lbs","Louisville","$1,517,981"
"Semi Ojeleye","Milwaukee Bucks","PF","26","6' 6""","240 lbs","SMU","$1,669,178"
"Bobby Portis","Milwaukee Bucks","C","26","6' 10""","250 lbs","Arkansas",""
